,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,DATEYR,LATDD,LONDD
144,AR0210,24.310000000000002,0.0,0,30,1.0,0.0,1988.0,-44.72,-70.62972
145,AR0211,1.32,0.0,0,30,1.0,0.0,1988.0,-45.81972,-67.81972
146,AR0212,3.795,0.0,0,30,1.0,0.0,1988.0,-49.04,-68.04
147,AR0213,8.91,0.0,0,30,1.0,0.0,1988.0,-54.38,-68.31972
148,AR0214,61.644000000000005,0.0,0,30,1.0,0.0,1988.0,-54.90972,-66.98972
149,AR0215,65.89,0.0,0,30,1.0,0.0,1988.0,-53.93,-67.80972
150,AR0216,4.0825,0.0,0,30,1.0,0.0,1988.0,-27.28,-65.37
151,AR0217,2.86,0.0,0,30,1.0,0.0,1988.0,-43.77,-69.59972
152,AR0218,2.096,0.0,0,30,1.0,0.0,1988.0,-44.72,-65.69972
153,AR0219,19.03,0.0,0,30,1.0,0.0,1988.0,-53.93,-68.38972
154,AR0220,9.4185,0.0,0,30,1.0,0.0,1988.0,-36.45,-58.02972
155,AR0221,4.29,0.0,0,30,1.0,0.0,1988.0,-45.77,-68.08
156,AR0222,4.048,0.0,0,30,1.0,0.0,1988.0,-45.15,-69.30972
157,AR0223,6.699,0.0,0,30,1.0,0.0,1988.0,-42.84972,-71.37
158,AR0224,9.9,0.0,0,30,1.0,0.0,1988.0,-52.93,-68.45972
159,AR0225,2.662,0.0,0,30,1.0,0.0,1989.0,-23.04972,-63.52972
160,AR0226,49.828,0.0,0,30,1.0,0.0,1989.0,-54.36972,-67.13972
161,AR0227,4.620000000000001,0.0,0,30,1.0,0.0,1989.0,-29.04972,-63.97
162,AR0228,5.864999999999998,0.0,0,30,1.0,0.0,1989.0,-29.5,-63.68
163,AR0231,2.64,0.0,0,30,1.0,0.0,1989.0,-28.07972,-62.61972
164,AR0232,1.944,0.0,0,30,1.0,0.0,1989.0,-36.59972,-63.2
165,AR0233,2.079,0.0,0,30,1.0,0.0,1989.0,-38.50972,-63.33
166,AR0234,86.35,0.0,0,30,1.0,0.0,1989.0,-38.34972,-59.47972
167,AR0235,16.091,0.0,0,30,1.0,0.0,1989.0,-37.77972,-58.68
168,AR0236,12.25,0.0,0,30,1.0,0.0,1989.0,-38.02,-58.18972
169,AR0237,1.98,0.0,0,30,1.0,0.0,1989.0,-27.54972,-64.69972
170,AR0238,2.64,0.0,0,30,1.0,0.0,1989.0,-28.35,-63.52
171,AR0239,2.9370000000000003,0.0,0,30,1.0,0.0,1989.0,-28.75,-64.08
172,AR0241,4.9375,0.0,0,30,1.0,0.0,1989.0,-36.27278,-57.11806
173,AR0242,3.2399999999999998,0.0,0,30,1.0,0.0,1989.0,-35.52972,-57.59972
174,AR0243,4.071,0.0,0,30,1.0,0.0,1989.0,-36.11,-57.59972
175,AR0244,6.27,0.0,0,30,1.0,0.0,1989.0,-38.54972,-59.50972
176,AR0245,3.165,0.0,0,30,1.0,0.0,1989.0,-37.11972,-59.22
177,AR0246,3.9789999999999996,0.0,0,30,1.0,0.0,1989.0,-36.61,-57.61
178,AR0247,3.672,0.0,0,30,1.0,0.0,1989.0,-37.90972,-60.33
179,AR0248,0.682,0.0,0,30,1.0,0.0,1990.0,-39.22,-70.87
180,AR0249,2.1599999999999997,0.0,0,30,1.0,0.0,1990.0,-40.09972,-70.09972
181,AR0250,0.9084999999999999,0.0,0,30,1.0,0.0,1990.0,-38.81972,-69.27972
182,AR0251,3.9600000000000004,0.0,0,30,1.0,0.0,1990.0,-40.09972,-70.05
183,AR0252,17.820000000000004,0.0,0,30,1.0,0.0,1990.0,-46.13972,-69.52972
184,AR0253,2.838,0.0,0,30,1.0,0.0,1990.0,-39.18,-71.05
185,AR0254,1.4850000000000003,0.0,0,30,1.0,0.0,1990.0,-37.59972,-70.22
186,AR0255,0.9900000000000001,0.0,0,30,1.0,0.0,1990.0,-37.97972,-70.05
187,AR0256,1.7249999999999999,0.0,0,30,1.0,0.0,1990.0,-37.34972,-70.77972
