,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,obs_date_yyyy,lat_dd,long_dd
9591,S1989HI003004_89P0655,5.5828000000000015,0.0,0.0,30.0,1.0,0.0,1989,21.38861,-158.03917
9592,S1989HI003005_89P0656,3.35044,0.0,0.0,30.0,1.0,0.0,1989,21.38861,-158.03917
9593,89HI001001_89P0657,13.31946,0.0,0.0,30.0,1.0,0.0,1989,19.73083,-155.10916
9594,S1989HI001002_89P0658,13.203599999999998,0.0,0.0,30.0,1.0,0.0,1989,19.73083,-155.10919
9595,S1989HI001003_89P0659,16.00985,0.0,0.0,30.0,1.0,0.0,1989,19.73083,-155.10922
9596,S1989HI001004_89P0660,15.186359999999997,0.0,0.0,30.0,1.0,0.0,1989,19.73083,-155.10925
9597,S1989HI001005_89P0661,14.924980000000001,0.0,0.0,30.0,1.0,0.0,1989,19.73083,-155.10928
9598,S1989OK151001_89P0708,3.2740800000000005,0.0,0.0,30.0,1.0,0.0,1989,36.88389,-98.58972
9599,S1989OK151002_89P0709,1.4496000000000002,0.0,0.0,30.0,1.0,0.0,1989,36.60833,-98.79444
9600,S1989OK151003_89P0710,1.152,0.0,0.0,30.0,1.0,0.0,1989,36.84195,-98.60361
9601,S1989OK151004_89P0711,1.6729999999999996,0.0,0.0,30.0,1.0,0.0,1989,36.68083,-98.59222
9602,S1989OK151005_89P0712,6.2773,0.0,0.0,30.0,1.0,0.0,1989,36.79583,-99.05722
9603,S1989KS081001_89P0725,3.09251,0.0,0.0,30.0,1.0,0.0,1989,37.39889,-101.04583
9604,S1989KS081002_89P0726,2.07996,0.0,0.0,30.0,1.0,0.0,1989,37.405,-101.03333
9605,S1989KS081003_89P0727,2.5520800000000006,0.0,0.0,30.0,1.0,0.0,1989,37.4101,-101.03413
9606,S1989KS081008_89P0728,4.512969999999999,0.0,0.0,30.0,1.0,0.0,1989,37.42111,-101.06
9607,S1989KS081013_89P0730,4.277049999999999,0.0,0.0,30.0,1.0,0.0,1989,37.48528,-101.06917
